-------------------------------------------------------------------
  Nuclide     Energy   Intensity  Decay   Half-life   Effective    
 86-Rn-228      62.62   * 30.     B-      65       S   * 3.20E-03  
 77-Ir-194      62.79      0.4    IT      31.85   MS     8.71E-02  
 48-Cd-124      62.80     32.2    B-      1.25     S     1.79E-01  
 85-At-212      62.94      --     Alpha   0.119    S          N/A  
 10-Ne- 27      63.       21.1    B-      31.5    MS     4.64E+00  
" 10-Ne- 28      63.        0.73   B-,N    18.9    MS     2.68E-01  "
" 10-Ne- 29      63.        --     B-,2N   14.8    MS          N/A  "
 28-Ni- 50      63.        --     B+P     17.2    MS          N/A  
 76-Os-172      63.0    * 98.     EC      19.2     S   * 3.54E-02  
 85-At-191      63.        --     Alpha   2.1     MS          N/A  
 88-Ra-230      63.0       3.44   B-      93       M     4.27E-06  
 99-Es-254      63.        2.     Alpha   275.7    D     5.82E-10  
 70-Yb-169      63.12     43.62   EC      32.018   D     1.09E-07  
 90-Th-234      63.29      3.67   B-      24.10    D     1.22E-08  
 74-W -188      63.58      0.11   B-      69.78    D     1.26E-10  
 75-Re-188      63.60     21.63   IT      18.59    M     1.34E-04  
 70-Yb-163      63.62     15.36   EC      11.05    M     1.61E-04  
 90-Th-232      63.81      0.26   Alpha   14.05E+9 Y     4.06E-21  
 83-Bi-194      63.9       --     Alpha   115      S          N/A  
 63-Eu-157      63.93     22.99   B-      15.18    H     2.92E-06  
 55-Cs-123      64.0       4.5    IT      1.64     S     1.90E-02  
 64-Gd-157      64.       17.5    IT      18.5    US     6.56E+03  
 82-Pb-185      64.        --     Alpha   6.3      S          N/A  
 87-Fr-227      64.27     14.46   B-      2.47     M     6.76E-04  
 50-Sn-126      64.28      9.62   B-      2.30E+5  Y     9.19E-15  
 92-U -231      64.38    7.E-06   Alpha   4.2      D          N/A  
 37-Rb- 78      64.4       --     IT      5.74     M          N/A  
 99-Es-252      64.42      0.28   Alpha   471.7    D     4.76E-11  
 40-Zr-102      64.46      8.6    B-      2.9      S     2.06E-02  
 91-Pa-227      64.62      6.12   Alpha   38.3     M     1.85E-05  
 91-Pa-229      64.70      0.05   Alpha   1.50     D     2.67E-09  
 59-Pr-131      64.8   ?   0.32   IT      5.73     S  ?  3.87E-04  
 35-Br- 73      65.0      37.     EC      3.4      M     1.26E-03  
 41-Nb- 84      65.0      78.     IT      103     NS     5.25E+06  
 80-Hg-185      65.3       0.03   IT      21.6     S     9.63E-06  
 76-Os-179      65.4    *600.     EC      6.5      M   * 1.07E-02  
 38-Sr-100      65.46     15.18   B-      202     MS     5.21E-01  
 50-Sn-119      65.66      0.02   IT      293      D     5.48E-12  
 42-Mo-107      65.7   >* 92.     B-      3.5      S  >* 1.82E-01  
 65-Tb-158      65.76     27.44   IT      0.40    MS     4.75E+02  
 74-W -185      65.86      5.8    IT      1.67     M     4.01E-04  
 55-Cs-127      65.9      11.4    IT      55      US     1.44E+03  
 73-Ta-185      66.1       3.85   B-      49.4     M     9.00E-06  
 67-Ho-153      66.2       4.82   EC      2.01     M     2.77E-04  
 56-Ba-127      66.3       2.12   B+      12.7     M     1.93E-05  
 34-Se- 69      66.4      24.82   EC      27.4     S     6.28E-03  
 92-U -240      66.5       0.15   B-      14.1     H     2.05E-08  
 37-Rb- 77      66.52     57.     EC      3.77     M     1.75E-03  
 80-Hg-188      66.7      62.92   EC      3.25     M     2.24E-03  
 69-Tm-171      66.73      0.14   B-      1.92     Y     1.60E-11  
 69-Tm-162      66.90      7.22   IT      24.3     S     2.06E-03  
 71-Lu-174      67.06      7.25   IT      142      D     4.10E-09  
 71-Lu-174      67.06   *  8.     IT      145     NS   * 3.82E+05  
 71-Lu-174      67.06   *  8.     IT      395     NS   * 1.40E+05  
 34-Se- 73      67.07      2.59   EC      39.8     M     7.52E-06  
 34-Se- 73      67.07     69.84   EC      7.15     H     1.88E-05  
 61-Pm-145      67.2       0.68   EC      17.7     Y     8.44E-12  
 67-Ho-158      67.20      0.19   IT      28       M     7.84E-07  
 71-Lu-172      67.35     50.4    IT      440     US     7.94E+02  
 72-Hf-172      67.35      5.31   EC      1.87     Y     6.24E-10  
 29-Cu- 61      67.41      4.23   EC      3.333    H     2.44E-06  
 27-Co- 61      67.42     84.67   B-      1.650    H     9.88E-05  
 57-La-125      67.6    *208.8    EC      64.8     S   * 2.23E-02  
 89-Ac-226      67.6       0.11   EC      29.37    H     7.21E-09  
 91-Pa-227      67.6       0.42   Alpha   38.3     M     1.27E-06  
 92-U -242      67.60      9.57   B-      16.8     M     6.58E-05  
 90-Th-230      67.67      0.38   Alpha   7.538E+4 Y     1.11E-15  
 57-La-129      67.7      23.8    IT      0.56     S     2.95E-01  
 73-Ta-182      67.75     42.92   B-      114.74   D     3.00E-08  
 75-Re-182      67.75     38.4    EC      12.7     H     5.82E-06  
 63-Eu-159      67.8      19.18   B-      18.1     M     1.22E-04  
 64-Gd-159      67.8      35.8    IT      26.2    NS     9.47E+06  
 75-Re-182      67.85     22.19   EC      64.0     H     6.68E-07  
 22-Ti- 44      67.87     93.03   EC      60.0     Y     3.41E-10  
 58-Ce-129      68.        --     EC      3.5      M          N/A  
 85-At-206  ~   68.     *1.E-03   Alpha   30.6     M   *      N/A  
 48-Cd-128      68.02     28.88   B-      0.34     S     5.89E-01  
 68-Er-172      68.11      3.29   B-      49.3     H     1.28E-07  
 63-Eu-154      68.17     37.     IT      46.0     M     9.29E-05  
 92-U -231      68.33    2.E-05   Alpha   4.2      D          N/A  
 79-Au-184      68.46      --     IT      47.6     S          N/A  
 55-Cs-121      68.5       --     IT      122      S          N/A  
 65-Tb-142      68.5       1.04   IT      303     MS     2.38E-02  
 86-Rn-211      68.55      0.43   Alpha   14.6     H     5.67E-08  
 42-Mo-104      68.8      55.     B-      60       S     6.35E-03  
 70-Yb-165      68.86      6.3    EC      9.9      M     7.35E-05  
 50-Sn-102      69.       22.5    EC      3.8      S     4.10E-02  
 69-Tm-163      69.23     11.61   EC      1.810    H     1.24E-05  
 89-Ac-227      69.28    4.E-03   Alpha   21.772   Y          N/A  
 77-Ir-189      69.53      3.54   EC      13.2     D     2.15E-08  
 62-Sm-153      69.67      4.73   B-      46.50    H     1.96E-07  
 64-Gd-153      69.67      2.42   EC      240.4    D     8.08E-10  
 42-Mo-104      69.7      17.8    B-      60       S     2.06E-03  
 65-Tb-167      69.7       --     B-      19.4     S          N/A  
 73-Ta-173      69.70      5.95   EC      3.14     H     3.65E-06  
 57-La-145      70.0      10.84   B-      24.8     S     3.03E-03  
 50-Sn-130      70.01     34.1    B-      3.72     M     1.06E-03  
 46-Pd-111      70.43      0.78   B-      23.4     M     3.85E-06  
 46-Pd-111      70.44      2.14   B-      5.5      H     7.49E-07  
 83-Bi-188      70.5       --     Alpha   265     MS          N/A  
 78-Pt-184      70.7      22.61   EC      17.3     M     1.51E-04  
 59-Pr-154      70.8      10.94   B-      2.3      S     3.30E-02  
 72-Hf-163      70.98   *100.     EC      40.0     S   * 1.73E-02  
 71-Lu-171      71.10      0.21   IT      79       S     1.84E-05  
 99-Es-254      71.30      0.04   Alpha   39.3     H     1.96E-09  
 80-Hg-183      71.4       --     Alpha   9.4      S          N/A  
 20-Ca- 50      71.55     51.48   B-      13.9     S     2.57E-02  
  8-O - 22      71.6      91.8    B-      2.25     S     2.83E-01  
 25-Mn- 58      71.78      --     IT      65.4     S          N/A  
 61-Pm-159      71.8       --     B-      1.47     S          N/A  
 68-Er-158      71.90     10.65   EC      2.29     H     8.95E-06  
 87-Fr-212      71.9       0.62   Alpha   20.0     M     3.58E-06  
 10-Ne- 29      72.       54.     B-      14.8    MS     2.53E+01  
 66-Dy-147      72.0       4.2    IT      55.2     S     5.27E-04  
 74-W -187      72.00     13.55   B-      24.000   H     1.09E-06  
 76-Os-169      72.        --     Alpha   3.4      S          N/A  
 79-Au-172      72.        --     Alpha   7.7     MS          N/A  
 84-Po-199      72.        --     IT      4.17     M          N/A  
 88-Ra-230      72.0       9.72   B-      93       M     1.21E-05  
 92-U -230      72.20      0.6    Alpha   20.8     D     2.31E-09  
 89-Ac-226      72.23      0.56   B-      29.37    H     3.67E-08  
 61-Pm-145      72.4       2.2    EC      17.7     Y     2.73E-11  
 59-Pr-145      72.50      0.26   B-      5.984    H     8.37E-08  
 65-Tb-151      72.50  ~   0.11   IT      25       S  ~  3.05E-05  
 54-Xe-120      72.6       8.8    EC      40       M     2.54E-05  
 61-Pm-158      72.7       --     B-      4.8      S          N/A  
 59-Pr-131      72.84   *210.     EC      1.51     M   * 1.61E-02  
 53-I -133      73.        3.8    IT      9        S     2.93E-03  
 76-Os-193      73.03      3.18   B-      30.11    H     2.03E-07  
 47-Ag-114      73.1       --     IT      1.50    MS          N/A  
 72-Hf-183      73.17     38.38   B-      1.067    H     6.93E-05  
 67-Ho-164      73.39      1.88   EC      29       M     7.49E-06  
 12-Mg- 22      73.92     58.34   B+      3.8755   S     1.04E-01  
 91-Pa-234      73.92      --     IT      1.159    M          N/A  
 70-Yb-158      74.1      54.     EC      1.49     M     4.19E-03  
 76-Os-191      74.38      0.07   IT      13.10    H     1.03E-08  
 65-Tb-161      74.57     10.2    B-      6.906    D     1.18E-07  
 92-U -239      74.66     49.2    B-      23.45    M     2.42E-04  
 95-Am-243      74.66     67.2    Alpha   7370     Y     2.00E-12  
 62-Sm-138      74.7       --     EC      3.1      M          N/A  
 46-Pd-100      74.78     47.84   EC      3.63     D     1.06E-06  
 78-Pt-182      74.8      15.25   EC      2.67     M     6.60E-04  
 45-Rh-100      74.9       1.59   IT      4.6      M     3.99E-05  
 65-Tb-168      74.96   * 50.     B-      8.2      S   * 4.23E-02  
 50-Sn-128      75.1      27.73   B-      59.07    M     5.42E-05  
 91-Pa-229      75.12      0.03   Alpha   1.50     D     1.60E-09  
 60-Nd-137      75.5      17.29   EC      38.5     M     5.19E-05  
 77-Ir-177      75.6   <   5.76   EC      30       S  <  1.33E-03  
 61-Pm-148      75.8       0.93   IT      41.29    D     1.81E-09  
 30-Zn- 76      75.9      24.8    B-      5.7      S     3.02E-02  
 64-Gd-153      76.01     18.9    IT      76.0    US     1.72E+03  
 51-Sb-122      76.06     23.3    IT      4.191    M     6.42E-04  
 61-Pm-147      76.07    1.E-08   B-      2.6234   Y          N/A  
 78-Pt-200      76.20     13.4    B-      12.6     H     2.05E-06  
 78-Pt-175      76.4       --     Alpha   2.54     S          N/A  
 71-Lu-174      76.47      5.93   EC      3.31     Y     3.94E-10  
 42-Mo-105      76.5      19.25   B-      35.6     S     3.75E-03  
 62-Sm-143      76.5      26.     IT      30      MS     6.01E+00  
 58-Ce-133      76.9      15.75   EC      97       M     1.88E-05  
 50-Sn-113      77.        0.5    IT      21.4     M     2.70E-06  
102-No-257      77.0       1.87   Alpha   24.5     S     5.29E-04  
 55-Cs-125      77.1    * 26.5    IT      0.90    MS   * 2.04E+02  
 63-Eu-152      77.23      0.69   IT      96       M     8.30E-07  
 78-Pt-197      77.35     17.02   B-      19.8915  H     1.65E-06  
 80-Hg-197      77.35     18.7    EC      64.14    H     5.61E-07  
 47-Ag- 95      77.4       --     IT      500     MS          N/A  
 67-Ho-161      77.42      1.91   EC      2.48     H     1.48E-06  
 45-Rh-104      77.53      2.08   IT      4.34     M     5.54E-05  
 56-Ba-125      77.6    *100.     EC      3.3      M   * 3.50E-03  
 32-Ge- 75      77.86    3.E-03   IT      47.7     S          N/A  
 67-Ho-152      78.        --     Alpha   50.0     S          N/A  
 70-Yb-161      78.20     36.4    EC      4.2      M     1.00E-03  
 28-Ni- 70      78.3       4.56   B-      6.0      S     5.27E-03  
 22-Ti- 44      78.36     96.4    EC      60.0     Y     3.53E-10  
 83-Bi-190      78.5       --     Alpha   6.3      S          N/A  
 63-Eu-159      78.6       9.1    B-      18.1     M     5.81E-05  
 71-Lu-173      78.63     11.87   EC      1.37     Y     1.90E-09  
 67-Ho-170      78.7    * 40.     B-      43       S   * 6.45E-03  
 69-Tm-170      78.7     3.E-03   EC      128.6    D          N/A  
 69-Tm-172      78.75      6.54   B-      63.6     H     1.98E-07  
 72-Hf-166      78.76     43.6    EC      6.77     M     7.44E-04  
 75-Re-167      79.        --     EC      5.9      S          N/A  
 76-Os-171      79.        0.01   Alpha   8.3      S     8.35E-06  
 80-Hg-185      79.        --     Alpha   49.1     S          N/A  
 56-Ba-131      79.05      1.33   IT      14.6     M     1.05E-05  
 47-Ag-108      79.13      6.63   IT      438      Y     3.32E-12  
 39-Y - 81      79.23     24.74   EC      70.4     S     2.44E-03  
 66-Dy-159      79.4     5.E-04   EC      144.4    D          N/A  
 79-Au-181      79.4   ~*243.25   EC      13.7     S  ~* 1.23E-01  
 65-Tb-158      79.51     11.63   EC      180      Y     1.42E-11  
 54-Xe-133      79.62      0.27   B-      5.243    D     4.13E-09  
 87-Fr-223      79.65      8.7    B-      22.00    M     4.57E-05  
 42-Mo- 88      79.8    * 71.     EC      8.0      M   * 1.03E-03  
 75-Re-177      79.8       7.23   EC      14       M     5.97E-05  
 55-Cs-138      79.9       0.37   IT      2.91     M     1.47E-05  
 44-Ru-115      80.1    * 12.4    B-      0.74     S   * 1.16E-01  
 70-Yb-165      80.11     33.66   EC      9.9      M     3.93E-04  
 58-Ce-144      80.12      1.36   B-      284.91   D     3.83E-10  
 56-Ba-127      80.2       --     IT      1.9      S          N/A  
 77-Ir-193      80.22      --     IT      10.53    D          N/A  
 55-Cs-130      80.45     34.62   IT      3.46     M     1.16E-03  
 67-Ho-166      80.58      6.56   B-      26.824   H     4.71E-07  
 78-Pt-180      80.6      45.     EC      56       S     5.57E-03  
 67-Ho-162      80.7       8.02   EC      15.0     M     6.18E-05  
 65-Tb-153      80.72     19.3    IT      186     US     7.19E+02  
 66-Dy-153      80.72     11.1    EC      6.4      H     3.34E-06  
 47-Ag-116      80.9       --     IT      9.3      S          N/A  
 69-Tm-147      80.9       --     EC      0.58     S          N/A  
100-Fm-255      80.92      0.23   Alpha   20.07    H     2.21E-08  
 54-Xe-133      81.00     38.     B-      5.243    D     5.81E-07  
 56-Ba-133      81.00     34.06   EC      10.52    Y     7.11E-10  
 46-Pd-113      81.1       6.9    IT      0.3      S     1.59E-01  
 55-Cs-122      81.20      4.7    IT      0.36     S     9.05E-02  
 93-Np-235      81.2     4.E-05   Alpha   396.2    D          N/A  
100-Fm-255      81.48      1.     Alpha   20.07    H     9.59E-08  
 73-Ta-175      81.5       6.     EC      10.5     H     1.10E-06  
 78-Pt-182      81.5       6.07   EC      2.67     M     2.63E-04  
 36-Kr- 95      81.7      32.09   IT      1.4     US     1.59E+05  
 52-Te-121      81.79      0.05   IT      164.2    D     2.44E-11  
 63-Eu-154      81.99    5.E-07   EC      8.601    Y          N/A  
 61-Pm-154      82.02     12.6    B-      1.73     M     8.41E-04  
 61-Pm-154      82.02     14.63   B-      2.68     M     6.31E-04  
 71-Lu-176      82.1     7.E-03   EC      3.635    H          N/A  
 70-Yb-166      82.29      --     EC      56.7     H          N/A  
 44-Ru-112      82.3      12.48   B-      1.75     S     4.94E-02  
 76-Os-194      82.3   <   0.01   B-      6.0      Y  <  3.66E-13  
 58-Ce-135      82.4      21.27   IT      20       S     7.37E-03  
 76-Os-191      82.43      0.03   B-      15.4     D     1.56E-10  
 77-Ir-191      82.43      0.03   IT      4.899    S     4.24E-05  
 65-Tb-153      82.46      2.18   IT      186     US     8.12E+01  
 66-Dy-166      82.47     13.8    B-      81.6     H     3.26E-07  
 10-Ne- 26      82.5       --     B-      197     MS          N/A  
 59-Pr-135      82.64   *105.     EC      24       M   * 5.05E-04  
 80-Hg-188      82.7       2.6    EC      3.25     M     9.24E-05  
 85-At-210      82.80      0.01   Alpha   8.1      H     2.38E-09  
 24-Cr- 56      83.       95.3    B-      5.94     M     1.85E-03  
 87-Fr-218      83.     *  4.     Alpha   22.0    MS   * 1.26E+00  
 66-Dy-157      83.04      0.26   EC      8.14     H     6.15E-08  
 75-Re-184      83.31    6.E-03   IT      169      D          N/A  
 55-Cs-123      83.38      4.09   EC      5.88     M     8.04E-05  
 24-Cr- 57      83.4       8.32   B-      21.1     S     2.73E-03  
 42-Mo-103      83.4    *145.     B-      67.5     S   * 1.49E-02  
 48-Cd-104      83.5      47.     EC      57.7     M     9.41E-05  
 89-Ac-223      83.55      0.57   Alpha   2.10     M     3.14E-05  
 34-Se- 73      84.0       2.03   EC      39.8     M     5.89E-06  
 39-Y - 80      84.        --     IT      4.7     US          N/A  
 40-Zr- 80      84.        --     EC      4.6      S          N/A  
 46-Pd-100      84.00     52.     EC      3.63     D     1.15E-06  
 94-Pu-243      84.0      23.     B-      4.956    H     8.94E-06  
 97-Bk-247      84.    ~  40.     Alpha   1380     Y  ~  6.37E-12  
 87-Fr-212      84.1       1.07   Alpha   20.0     M     6.18E-06  
 75-Re-177      84.2       6.38   EC      14       M     5.26E-05  
 93-Np-235      84.2     2.E-04   Alpha   396.2    D          N/A  
 90-Th-231      84.21      6.6    B-      25.52    H     4.98E-07  
 92-U -231      84.23      7.3    EC      4.2      D     1.39E-07  
 69-Tm-170      84.25      2.48   B-      128.6    D     1.55E-09  
 71-Lu-170      84.26      8.72   EC      2.012    D     3.48E-07  
 77-Ir-194      84.29      4.61   IT      31.85   MS     1.00E+00  
 90-Th-228      84.37      1.22   Alpha   1.912    Y     1.40E-10  
 69-Tm-161      84.40      9.45   EC      30.2     M     3.61E-05  
 89-Ac-224      84.4       1.52   EC      2.78     H     1.05E-06  
 29-Cu- 68      84.6      69.67   IT      3.75     M     2.15E-03  
