nucleus,energy,lifetime,lifetime_unit,life_mult,life_sec,Z,A,symbol,latex,natural_lw,combo
17-Cl-40,2621.7,1.35,M,60,81,17,40,Cl,$^{40}_{17}Cl$,8.126e-9,40Cl
17-Cl-40,2840.1,1.35,M,60,81,17,40,Cl,$^{40}_{17}Cl$,8.126e-9,40Cl
17-Cl-42,1207.7,6.9,S,1,6.9,17,42,Cl,$^{42}_{17}Cl$,9.539e-8,42Cl
17-Cl-42,1277.3,6.9,S,1,6.9,17,42,Cl,$^{42}_{17}Cl$,9.539e-8,42Cl
17-Cl-42,2837.3,6.9,S,1,6.9,17,42,Cl,$^{42}_{17}Cl$,9.539e-8,42Cl
17-Cl-43,679.1,3.07,S,1,3.07,17,43,Cl,$^{43}_{17}Cl$,2.144e-7,43Cl
17-Cl-43,761.6,3.07,S,1,3.07,17,43,Cl,$^{43}_{17}Cl$,2.144e-7,43Cl
17-Cl-43,1031.6,3.07,S,1,3.07,17,43,Cl,$^{43}_{17}Cl$,2.144e-7,43Cl
17-Cl-44,852.77,0.56,S,1,0.56,17,44,Cl,$^{44}_{17}Cl$,1.175e-6,44Cl
17-Cl-44,1158.11,0.56,S,1,0.56,17,44,Cl,$^{44}_{17}Cl$,1.175e-6,44Cl
17-Cl-44,2796,0.56,S,1,0.56,17,44,Cl,$^{44}_{17}Cl$,1.175e-6,44Cl
17-Cl-45,541.7,413,MS,0.001,0.41300000000000003,17,45,Cl,$^{45}_{17}Cl$,1.594e-6,45Cl
17-Cl-45,1228.1,413,MS,0.001,0.41300000000000003,17,45,Cl,$^{45}_{17}Cl$,1.594e-6,45Cl
17-Cl-45,2751,413,MS,0.001,0.41300000000000003,17,45,Cl,$^{45}_{17}Cl$,1.594e-6,45Cl
17-Cl-46,1340,223,MS,0.001,0.223,17,46,Cl,$^{46}_{17}Cl$,2.952e-6,46Cl
17-Cl-46,1346,223,MS,0.001,0.223,17,46,Cl,$^{46}_{17}Cl$,2.952e-6,46Cl
17-Cl-46,1416.1,223,MS,0.001,0.223,17,46,Cl,$^{46}_{17}Cl$,2.952e-6,46Cl
18-Ar-31,1192,14.4,MS,0.001,0.014400000000000001,18,31,Ar,$^{31}_{18}Ar$,4.571e-5,31Ar
18-Ar-31,2211,14.4,MS,0.001,0.014400000000000001,18,31,Ar,$^{31}_{18}Ar$,4.571e-5,31Ar
18-Ar-32,466.09,98,MS,0.001,0.098,18,32,Ar,$^{32}_{18}Ar$,6.716e-6,32Ar
18-Ar-32,702.3,98,MS,0.001,0.098,18,32,Ar,$^{32}_{18}Ar$,6.716e-6,32Ar
18-Ar-32,1168.4,98,MS,0.001,0.098,18,32,Ar,$^{32}_{18}Ar$,6.716e-6,32Ar
18-Ar-32,1248.4,98,MS,0.001,0.098,18,32,Ar,$^{32}_{18}Ar$,6.716e-6,32Ar
18-Ar-33,810.51,173,MS,0.001,0.17300000000000001,18,33,Ar,$^{33}_{18}Ar$,3.805e-6,33Ar
18-Ar-33,1541.2,173,MS,0.001,0.17300000000000001,18,33,Ar,$^{33}_{18}Ar$,3.805e-6,33Ar
18-Ar-33,1547.9,173,MS,0.001,0.17300000000000001,18,33,Ar,$^{33}_{18}Ar$,3.805e-6,33Ar
18-Ar-33,2231.1,173,MS,0.001,0.17300000000000001,18,33,Ar,$^{33}_{18}Ar$,3.805e-6,33Ar
18-Ar-33,2351.7,173,MS,0.001,0.17300000000000001,18,33,Ar,$^{33}_{18}Ar$,3.805e-6,33Ar
18-Ar-34,461,844.5,MS,0.001,0.8445,18,34,Ar,$^{34}_{18}Ar$,7.794e-7,34Ar
18-Ar-34,665.54,844.5,MS,0.001,0.8445,18,34,Ar,$^{34}_{18}Ar$,7.794e-7,34Ar
18-Ar-35,1219.42,1.775,S,1,1.775,18,35,Ar,$^{35}_{18}Ar$,3.708e-7,35Ar
18-Ar-35,1763.1,1.775,S,1,1.775,18,35,Ar,$^{35}_{18}Ar$,3.708e-7,35Ar
